Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
22-8	195	2	KL3, OCL1	Xi'an	20220101	8	16	256	256	1024	1024	1024	4	1	0.25	SAMN36593486
Ab1	208	2	KL115, OCL1	Hangzhou	20210111	512	512	32	32	1024	1024	64	8	1	0.25	SAMN36593487
Ab10	938	2	KL3, OCL1	Hangzhou	20210116	512	512	128	128	1024	1024	256	8	0.5	0.125	SAMN36593488
Ab109	208	2	KL72, OCL1	Hangzhou	20210507	8	16	32	64	1024	512	128	1	1	0.06	SAMN36593489
Ab117	208	2	KL9, OCL1	Hangzhou	20210511	512	512	128	128	1024	128	256	8	1	0.125	SAMN36593490
Ab120	208	2	KL3, OCL1	Hangzhou	20210513	8	16	64	128	1024	128	512	1	2	0.25	SAMN36593491
Ab124	195	2	KL9, OCL1	Hangzhou	20210514	512	512	32	16	1024	1024	256	8	2	<0.03	SAMN36593492
Ab133	195	2	KL9, OCL1	Hangzhou	20210521	512	512	64	64	1024	512	256	8	2	0.125	SAMN36593493
Ab144	208	2	KL3, OCL1	Hangzhou	20210528	4	512	64	64	1024	64	256	8	1	0.25	SAMN36593494
Ab159	195	2	KL9, OCL18	Hangzhou	20210606	512	512	64	64	1024	512	512	8	1	0.125	SAMN36593495
Ab171	462	46	KL9, OCL1	Hangzhou	20210615	16	64	64	64	128	32	1024	4	2	0.5	SAMN36593496
Ab180	208	2	KL194, OCL2	Hangzhou	20210620	8	512	64	64	1024	128	512	8	1	0.25	SAMN36593497
Ab188	369	-	KL9, OCL1	Hangzhou	20210622	8	32	64	64	1024	1024	1024	0.25	2	0.25	SAMN36593498
Ab19	136	2	KL9, OCL1	Hangzhou	20210121	512	512	128	128	1024	1024	256	8	0.5	0.125	SAMN36593499
Ab200	208	2	KL2, OCL1	Hangzhou	20210702	512	512	32	64	1024	1024	512	2	2	0.06	SAMN36593500
Ab212	540	2	KL3, OCL1	Hangzhou	20210712	8	32	32	64	1024	1024	512	4	1	0.125	SAMN36593501
Ab218	1324	374	KL9, OCL1	Hangzhou	20210717	1	0.5	32	64	16	8	4	<0.06	0.25	0.25	SAMN36593502
Ab233	208	2	KL9, OCL1	Hangzhou	20210722	8	512	64	64	1024	128	128	4	2	0.25	SAMN36593503
Ab245	208	2	KL2, OCL1	Hangzhou	20210731	16	32	64	128	1024	128	128	8	1	0.25	SAMN36593504
Ab254	540	2	KL9, OCL1	Hangzhou	20210807	512	128	512	512	1024	1024	1024	4	2	<0.03	SAMN36593505
Ab266	208	2	KL3, OCL1	Hangzhou	20210816	512	512	64	64	1024	64	128	8	2	0.25	SAMN36593506
Ab277	208	2	KL2, OCL1	Hangzhou	20210831	512	512	128	64	1024	128	256	8	2	0.125	SAMN36593507
Ab29	208	2	KL3, OCL1	Hangzhou	20210218	512	512	32	32	1024	1024	64	2	0.25	0.125	SAMN36593508
Ab304	369	2	KL139, OCL1	Hangzhou	20210930	512	512	64	64	1024	512	256	4	2	0.25	SAMN36593509
Ab313	208	2	KL34, OCL1	Hangzhou	20211011	512	512	64	128	1024	128	512	1	2	0.125	SAMN36593510
Ab336	208	2	KL2, OCL1	Hangzhou	20211101	512	512	128	64	1024	128	512	8	1	0.125	SAMN36593511
Ab349	208	2	KL2, OCL1	Hangzhou	20211110	512	512	128	128	1024	256	1024	16	2	0.125	SAMN36593512
Ab357	208	2	KL3, OCL1	Hangzhou	20211117	512	512	64	128	1024	256	256	8	1	0.06	SAMN36593513
