Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
A27	195	2	KL28, OCL1	Hangzhou	20150925	1024	1024	16	64	64	512	512	8	0.5	0.5	SAMN29490359
A28	191	2	KL2, OCL1	Hangzhou	20151014	1024	1024	32	64	128	128	128	1	2	0.5	SAMN29490360
A3	191	2	KL7, OCL1	Hangzhou	20171212	512	1024	16	64	128	128	64	1	2	0.25	SAMN29490361
A30	208	2	KL28, OCL1	Hangzhou	20150523	0.5	2	32	32	128	128	64	1	2	0.25	SAMN29490362
A32	191	2	KL77, OCL1	Hangzhou	20151021	1024	1024	16	64	128	128	64	1	2	0.5	SAMN29490363
A33	195	2	KL2, OCL1	Hangzhou	20151106	512	1024	32	64	128	512	256	16	2	0.125	SAMN29490364
A34	208	2	KL2, OCL1	Hangzhou	20151108	1024	1024	32	128	128	1024	128	16	2	0.25	SAMN29490365
A36	195	2	KL77, OCL1	Hangzhou	20151120	512	1024	16	64	128	256	128	8	2	0.25	SAMN29490366
A37	784	2	KL49, OCL1	Hangzhou	20151215	1	64	32	64	128	1024	256	32	2	1	SAMN29490367
A38	368	2	KL7, OCL1	Hangzhou	20160229	2	8	64	128	512	128	128	16	1	0.25	SAMN29490368
A39	208	2	KL9, OCL1	Hangzhou	20160425	512	1024	16	32	128	256	64	16	2	0.25	SAMN29490369
A40	208	2	KL7, OCL1	Hangzhou	20170609	256	512	8	32	128	64	64	16	2	0.125	SAMN29490370
A41	195	2	KL2, OCL1	Hangzhou	20160603	1024	1024	32	64	128	1024	128	8	2	0.25	SAMN29490371
A42	1928	1302	KL7, OCL1	Hangzhou	20160729	0.5	1	0.063	0.5	8	8	4	0.5	0.25	0.5	SAMN29490372
A43	208	2	KL9, OCL1	Hangzhou	20161024	256	1024	16	32	128	128	64	16	2	0.5	SAMN29490373
A44	208	2	KL9, OCL1	Hangzhou	20161023	256	512	16	1024	1024	1024	1024	16	2	0.25	SAMN29490374
A45	208	2	KL7, OCL1	Hangzhou	20161212	256	512	64	128	128	128	128	16	2	0.25	SAMN29490375
A46	195	2	KL7, OCL1	Hangzhou	20170405	1024	1024	32	64	128	512	256	8	2	0.25	SAMN29490376
A47	195	2	KL7, OCL1	Hangzhou	20170521	1024	1024	64	128	128	512	256	8	2	0.25	SAMN29490377
A48	191	2	KL9, OCL1	Hangzhou	20150608	1024	1024	32	64	128	128	128	1	2	0.5	SAMN29490378
A49	191	2	KL210, OCL1	Hangzhou	20150630	1024	1024	32	64	128	128	128	0.5	2	0.5	SAMN29490379
A50	191	2	KL9, OCL1	Hangzhou	20150715	1024	1024	32	64	128	128	64	1	2	0.5	SAMN29490380
A51	195	2	KL9, OCL1	Hangzhou	20150727	1024	1024	32	128	128	512	256	8	2	0.125	SAMN29490381
A52	880	77	KL9, OCL1	Hangzhou	20150802	0.5	1	2	8	8	4	4	0.5	0.5	0.125	SAMN29490382
A6	195	2	KL9, OCL1	Hangzhou	20180108	1024	1024	64	64	128	512	256	16	2	0.0625	SAMN29490383
A7	369	2	KL210, OCL1	Hangzhou	20180109	1024	1024	32	64	64	512	128	16	2	0.5	SAMN29490384
A8	191	2	KL7, OCL1	Hangzhou	20180116	1024	1024	16	32	64	128	64	1	2	0.5	SAMN29490385
A9	191	2	KL84, OCL6	Hangzhou	20180119	1024	1024	16	32	64	128	32	1	2	0.25	SAMN29490386
B10	208	2	KL7, OCL1	Hangzhou	20180419	1024	1024	32	64	128	128	128	16	1	0.25	SAMN29490387
B12	208	2	KL189, OCL2	Hangzhou	20180422	1024	1024	32	64	128	512	128	16	1	0.25	SAMN29490388
B13	369	2	KL7, OCL1	Hangzhou	20180421	512	1024	32	64	64	512	128	8	0.5	0.25	SAMN29490389
B15	208	2	KL14, OCL6	Hangzhou	20180424	512	1024	32	64	128	256	128	32	2	0.25	SAMN29490390
B16	208	2	KL24, OCL2	Hangzhou	20180425	1024	1024	64	64	128	128	256	16	1	0.25	SAMN29490391
B18	369	2	KL9, OCL1	Hangzhou	20180426	1024	1024	32	64	128	512	256	8	1	0.25	SAMN29490392
B2	369	2	KL72, OCL1	Hangzhou	20180417	1024	1024	64	128	128	512	256	8	0.5	0.5	SAMN29490393
B24	208	2	KL2, OCL1	Hangzhou	20180506	1024	1024	32	64	64	128	128	4	1	0.25	SAMN29490394
B25	208	2	KL7, OCL1	Hangzhou	20180505	1024	1024	16	64	128	128	64	16	0.5	0.25	SAMN29490395
B26	208	2	KL210, OCL1	Hangzhou	20180505	2	2	32	64	64	128	128	4	1	0.25	SAMN29490396
B29	191	2	KL3, OCL1	Hangzhou	20180506	0.5	1	32	128	128	128	128	1	2	0.25	SAMN29490397
B3	191	2	KL3, OCL1	Hangzhou	20180417	0.5	1	16	32	64	128	128	1	0.5	0.125	SAMN29490398
B30	208	2	KL9, OCL1	Hangzhou	20180509	1024	1024	64	64	128	128	256	4	1	0.25	SAMN29490399
B31	191	2	KL7, OCL1	Hangzhou	20180510	4	8	16	32	64	128	64	1	1	0.25	SAMN29490400
B32	369	2	KL7, OCL1	Hangzhou	20180510	1024	1024	32	64	64	512	128	8	0.5	0.25	SAMN29490401
B34	368	2	KL9, OCL1	Hangzhou	20180511	0.5	2	32	64	64	16	64	16	1	0.25	SAMN29490402
B36	195	2	KL3, OCL1	Hangzhou	20180514	512	1024	32	64	128	512	128	8	1	0.125	SAMN29490403
B39	208	2	KL126, OCL16	Hangzhou	20180516	2	4	64	128	128	128	256	2	1	0.25	SAMN29490404
B41	208	2	KL7, OCL1	Hangzhou	20180516	1024	1024	32	64	128	512	256	32	0.5	0.125	SAMN29490405
B44	547	2	KL7, OCL1	Hangzhou	20180521	1024	1024	32	64	128	1024	512	8	2	0.5	SAMN29490406
B49	208	2	KL30, OCL1	Hangzhou	20180524	1024	1024	16	32	128	64	64	8	1	0.5	SAMN29490407
B5	208	2	KL2, OCL1	Hangzhou	20180418	1024	1024	32	64	128	128	64	16	0.5	0.25	SAMN29490408
B50	208	2	KL2, OCL1	Hangzhou	20180525	512	1024	32	64	128	512	128	32	1	0.125	SAMN29490409
B54	195	2	KL7, OCL1	Hangzhou	20180526	1024	1024	32	64	128	512	128	32	1	0.125	SAMN29490410
B55	369	2	KL8, OCL1	Hangzhou	20180528	512	1024	32	64	64	512	128	8	0.25	0.5	SAMN29490411
B59	208	2	KL8, OCL1	Hangzhou	20180601	1024	1024	64	64	128	64	256	32	1	0.25	SAMN29490412
